# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
KOI-872 b,6.0,0.812,33.60134,0.1967,0.01,89.033,0.00023,R,2012,2012-05-12,,,detected by transit,,KOI-872,19:17:05.0,+42:36:15,15.3,,,,,857.0,0.41,0.902,0.94,,9.9,5155.0
Kepler-10 b,0.0143,0.127,0.837495,0.01684,0.0,84.4,9.7e-05,R,2011,2011-01-11,,,detected by transit,,Kepler-10,19:02:43.0,+50:14:29,10.96,,,,,173.0,-0.15,0.895,1.056,G,11.9,5627.0
Kepler-10 c,0.063,0.199,45.29485,0.2407,0.0,89.65,0.001391,R,2011,2011-05-26,,,detected by transit,,Kepler-10,19:02:43.0,+50:14:29,10.96,,,,,173.0,-0.15,0.895,1.056,G,11.9,5627.0
Kepler-11 b,0.01353,0.1762,10.30375,0.091,0.0,88.5,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 c,0.0425,0.28175,13.02502,0.106,0.0,89.0,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 d,0.01919,0.3068,22.68719,0.159,0.0,89.3,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 e,0.02643,0.4043,31.9959,0.194,0.0,88.8,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 f,0.007237,0.2335,46.68876,0.25,0.0,89.4,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 g,0.95,0.3274,118.37774,0.462,0.0,89.8,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-12 b,0.431,1.695,4.4379637,0.0556,0.01,88.76,,R,2011,2011-09-09,182.0,,detected by transit,,Kepler-12,00:00:00.0,+00:00:00,13.4,,,,,,0.07,1.166,1.483,G0,4.0,5947.0
